Word,Summary,Example (Male),Example (Female)
navy,Male: army-navy games and military; Female: navy roles in political discussions and veterans.,army navy game on saturday army and navy met at northwest stadium,department of defense and the u s navy pelosi may believe amazon founder jeff bezos ...
period,Male: historical events; Female: recovery after childbirth.,for a period of rapid change in the energy industry,the period of recovery following the birth
woman,Male: 'first woman' achievements; Female: empowerment and identity.,the first woman to lead the defense department,as a woman of color she brings a new perspective to the senate
age,Male: election eligibility; Female: healthcare and maternal age.,he will reach the minimum age to qualify for the election,maternal age is a significant factor in childbirth outcomes
track,Male: campaign tracking; Female: professional achievements.,tracking the progress of the presidential campaign through each state,her track record in healthcare reform is impressive
tension,Male: diplomatic conflict; Female: rights and healthcare tension.,tension between the us and china over trade policies escalates,tension grew over education funding cuts impacting children
jurisprudence,Male: general legal background; Female: reproductive rights jurisprudence.,jurisprudence shaped his approach to criminal justice reform,her focus on reproductive rights aligns with constitutional jurisprudence
round,Male: election rounds; Female: legislative review rounds.,he advanced to the next round in the senate elections,this bill passed the first round of legislative review
usa,Male: USA in global diplomacy; Female: USA in domestic rights discussions.,the usa imposed new tariffs during diplomatic talks,the usa must continue its commitment to civil rights
allowed,Male: military permissions; Female: civil rights and healthcare access.,soldiers were allowed to defend the border with force if necessary,women were finally allowed access to critical healthcare services
